Тип,Площадь (м^2),Этаж,Всего этажей,Станция,Время до станции (мин),Пешком?,Улица,Цена в день (руб.),С залогом?,Залог (руб.)
студия,30,9,19,приморская,7,False,бульвар вилькицкий,1400,True,3000
студия,27,5,5,чернышевская,11,True,улица чайковского,2300,True,3000
2-комн. апарт.,60,2,4,гостиный двор,3,True,садовая улица,3000,True,5000
2-комн. кв.,44,3,12,ленинский проспект,6,False,московское шоссе,1499,False,0
1-комн. кв.,16,2,3,площадь восстания,15,True,мытнинская улица,1400,False,0
1-комн. кв.,22,2,6,маяковская,4,True,стремянная улица,2050,False,0
1-комн. апарт.,8,16,26,проспект ветеранов,18,False,улица маршала казакова,3500,True,3000
1-комн. апарт.,16,1,1,санкт-петербург (московский вокзал),18,True,пушкинская улица,1450,True,3000
1-комн. кв.,24,1,6,площадь восстания,8,True,4-я советская улица,1900,True,2000
апартаменты-студия,15,1,6,горный институт,16,True,косая линия,1600,True,2000
1-комн. кв.,44,4,9,фрунзенская,9,True,улица егорова,2300,True,3000
1-комн. кв.,15,1,4,санкт-петербург (финляндский вокзал),4,False,улица комиссара смирнова,1400,False,0
1-комн. апарт.,28,2,4,достоевская,5,True,улица ломоносова,3500,False,0
1-комн. апарт.,24,2,5,достоевская,4,True,улица ломоносова,2500,False,0
2-комн. кв.,50,2,6,площадь восстания,6,True,гончарная улица,3000,True,3000
студия,30,12,19,приморская,4,False,бульвар головнина,1652,True,1652
1-комн. апарт.,17,4,4,петроградская,3,True,большая пушкарская улица,2500,False,0
студия,29,5,9,нарвская,10,True,улица швецова,1900,True,3000
2-комн. кв.,64,7,15,фрунзенская,8,True,заозерная улица,2800,True,3000
1-комн. кв.,31,3,3,маяковская,10,True,литейный проспект,1700,False,0
студия,40,4,5,площадь восстания,6,True,улица жуковского,1800,False,0
апартаменты-студия,18,1,5,владимирская,5,True,улица достоевского,1700,False,0
студия,23,5,7,балтийская,5,True,улица шкапина,1700,True,5000
1-комн. кв.,10,2,6,санкт-петербург (витебский вокзал),17,True,6-я красноармейская улица,1625,False,0
1-комн. кв.,38,3,4,владимирская,5,True,дмитровский переулок,2200,True,5000
студия,14,1,6,лиговский проспект,7,True,лиговский проспект,1990,True,3000
3-комн. кв.,100,14,25,пионерская,2,True,коломяжский проспект,3500,False,0
1-комн. кв.,35,6,6,санкт-петербург (финляндский вокзал),5,False,улица куйбышева,1700,False,0
студия,42,3,25,пионерская,4,True,коломяжский проспект,7000,True,5000
1-комн. кв.,42,22,25,пионерская,2,True,коломяжский проспект,2100,False,0
апартаменты-студия,17,10,14,лесная,1,False,большой сампсониевский проспект,1600,True,3000
1-комн. апарт.,25,1,1,санкт-петербург (московский вокзал),18,True,пушкинская улица,1571,True,3000
студия,27,7,15,приморская,7,False,бульвар вилькицкий,1300,True,2000
1-комн. апарт.,28,4,10,лиговский проспект,8,True,социалистическая улица,2500,True,2000
1-комн. кв.,34,6,25,удельная,7,True,фермское шоссе,1900,True,3000
1-комн. апарт.,23,1,1,санкт-петербург (витебский вокзал),20,True,гороховая улица,1690,True,2000
1-комн. апарт.,30,2,5,достоевская,4,True,улица ломоносова,2500,False,0
1-комн. кв.,21,1,6,достоевская,2,True,улица рубинштейна,2000,True,2000
2-комн. кв.,70,4,4,спасская,4,True,садовая улица,2700,True,5000
1-комн. кв.,50,1,1,санкт-петербург (московский вокзал),5,False,таврическая улица,1708,False,0
студия,23,6,7,балтийская,5,True,улица шкапина,1900,True,5000
1-комн. кв.,50,8,15,фрунзенская,9,True,заозерная улица,2200,True,3000
1-комн. кв.,28,3,10,лиговский проспект,7,True,социалистическая улица,3000,True,2000
1-комн. кв.,10,2,6,санкт-петербург (витебский вокзал),17,True,6-я красноармейская улица,1625,False,0
1-комн. кв.,45,15,25,пионерская,2,True,коломяжский проспект,2100,False,0
апартаменты-студия,27,21,23,звездная,17,True,пулковское шоссе,1500,True,2000
1-комн. кв.,60,2,5,сенная площадь,7,True,переулок апраксин,7000,True,7000
1-комн. кв.,35,6,6,санкт-петербург (финляндский вокзал),5,False,улица куйбышева,1700,False,0
1-комн. апарт.,18,3,4,маяковская,4,True,невский проспект,3500,False,0
2-комн. кв.,50,2,5,маяковская,8,True,невский проспект,5000,True,5000
2-комн. кв.,60,2,5,достоевская,3,True,улица рубинштейна,4705,True,7000
студия,27,9,12,проспект ветеранов,12,False,проспект ветеранов,1888,True,1888
4-комн. кв.,85,3,6,гостиный двор,2,True,малая садовая улица,5000,False,0
2-комн. кв.,70,4,5,лиговский проспект,6,True,лиговский проспект,2600,True,5000
1-комн. кв.,48,8,9,нарвская,10,True,улица швецова,2400,True,3000
1-комн. кв.,48,4,5,чернышевская,9,True,переулок басков,1990,False,0
апартаменты-студия,24,16,22,звездная,16,True,пулковское шоссе,1500,True,2000
3-комн. кв.,105,2,5,чернышевская,15,True,таврическая улица,4555,True,7000
апартаменты-студия,8,10,18,бухарестская,3,True,улица салова,2490,True,2490
студия,18,3,5,маяковская,4,True,пушкинская улица,1875,True,1875
1-комн. кв.,40,3,5,невский проспект,5,True,набережная канала грибоедова,2600,True,2600
1-комн. апарт.,18,3,4,маяковская,4,True,невский проспект,3000,False,0
2-комн. кв.,47,1,5,елизаровская,4,True,улица ольги берггольц,2400,True,2500
1-комн. кв.,30,3,4,садовая,3,False,проспект римского-корсакова,1990,False,0
1-комн. апарт.,15,1,5,площадь восстания,16,True,мытнинская улица,1500,False,0
1-комн. кв.,40,17,20,пролетарская,8,True,улица бабушкина,2000,True,3000
студия,25,9,10,василеостровская,4,False,26-я васильевского острова линия,2300,True,3000
студия,33,7,22,ладожская,5,False,проспект ударников,2000,True,2000
1-комн. апарт.,27,7,10,лиговский проспект,7,True,социалистическая улица,4500,False,0
3-комн. кв.,100,5,6,площадь александра невского,7,True,невский проспект,3000,True,5000
студия,37,2,4,гостиный двор,3,True,садовая улица,1900,True,3000
1-комн. кв.,39,8,25,удельная,4,False,проспект королева,2076,False,0
1-комн. кв.,42,12,16,звездная,5,True,проспект космонавтов,1700,True,5000
студия,28,17,24,комендантский проспект,9,False,комендантский проспект,1450,True,3000
апартаменты-студия,25,9,22,аэропорт,4,False,пулковское шоссе,1500,True,2000
студия,24,7,8,песочная,18,True,садовая улица,2000,True,2000
1-комн. кв.,28,5,8,московская,2,True,московский проспект,1500,True,2000
2-комн. кв.,50,4,10,спортивная,14,True,уральская улица,2900,True,5000
4-комн. кв.,130,4,4,площадь восстания,9,True,ковенский переулок,5000,True,10000
студия,19,1,5,чернышевская,11,True,литейный проспект,1888,True,1888
1-комн. кв.,40,15,15,звездная,13,True,дунайский проспект,2000,True,2000
2-комн. кв.,74,2,4,адмиралтейская,10,True,набережная реки мойки,3000,True,7000
1-комн. кв.,50,15,15,звездная,13,True,дунайский проспект,2200,True,2000
1-комн. кв.,26,2,19,сосновая поляна,6,False,улица адмирала черокова,1800,False,0
2-комн. кв.,51,1,4,садовая,6,True,гражданская улица,5500,True,10000
1-комн. кв.,19,1,6,чернышевская,3,True,кирочная улица,1790,True,2000
1-комн. кв.,22,1,4,площадь мужества,19,True,тихорецкий проспект,1900,True,2000
апартаменты-студия,20,2,5,маяковская,9,True,улица чехова,1900,True,3000
апартаменты-студия,26,13,22,звездная,14,True,пулковское шоссе,2000,True,2000
1-комн. кв.,43,1,25,звездная,16,True,улица среднерогатская,2300,True,5000
2-комн. кв.,68,2,4,невский проспект,2,True,набережная канала грибоедова,3200,True,3200
2-комн. кв.,70,2,5,гостиный двор,5,True,площадь островского,4500,True,4500
3-комн. апарт.,170,5,5,гостиный двор,6,True,набережная реки фонтанки,11500,True,20000
студия,30,5,7,парк победы,17,True,московский проспект,1480,False,0
студия,26,2,17,звездная,4,False,проезд дизельный,1600,True,2000
студия,29,13,17,звездная,18,True,улица федора котанова,1500,True,2000
1-комн. кв.,22,2,18,московские ворота,12,True,малая митрофаньевская улица,2200,True,2000
студия,28,13,22,звездная,14,True,пулковское шоссе,2199,True,1
студия,22,2,22,московские ворота,10,True,малая митрофаньевская улица,2400,True,2000
2-комн. кв.,78,11,20,фрунзенская,8,True,киевская улица,3000,True,3000
1-комн. кв.,40,16,27,парнас,6,False,улица валерия гаврилина,1400,True,1400
апартаменты-студия,11,1,5,площадь восстания,19,True,8-я советская улица,1300,False,0
1-комн. кв.,40,12,12,озерки,9,True,улица сикейроса,1600,True,5000
1-комн. кв.,40,19,20,проспект просвещения,5,True,проспект просвещения,1690,True,2000
1-комн. кв.,38,7,10,политехническая,4,False,улица академика байкова,2100,True,3000
1-комн. кв.,30,4,5,гостиный двор,4,True,итальянская улица,2600,True,2600
студия,15,9,16,выборгская,4,False,большой сампсониевский проспект,1500,True,2000
1-комн. апарт.,15,10,14,выборгская,4,False,большой сампсониевский проспект,1650,True,3000
2-комн. кв.,70,17,19,парнас,11,True,заречная улица,2000,True,5000
студия,20,2,3,маяковская,1,True,невский проспект,2000,False,0
апартаменты-студия,18,2,5,площадь восстания,6,True,улица восстания,1900,False,0
2-комн. кв.,63,3,5,маяковская,5,True,невский проспект,2400,True,3000
1-комн. кв.,43,6,12,московские ворота,6,True,заставская улица,2600,True,3000
1-комн. кв.,19,1,6,чернышевская,3,True,кирочная улица,1790,True,2000
апартаменты-студия,20,2,5,маяковская,9,True,улица чехова,1900,True,3000
1-комн. апарт.,48,1,1,удельная,5,True,фермское шоссе,2296,True,3000
3-комн. апарт.,170,5,5,гостиный двор,6,True,набережная реки фонтанки,11500,True,20000
1-комн. кв.,43,1,25,звездная,16,True,улица среднерогатская,2300,True,5000
1-комн. кв.,22,1,4,площадь мужества,19,True,тихорецкий проспект,1900,True,2000
1-комн. кв.,20,3,5,санкт-петербург (московский вокзал),4,False,невский проспект,2396,False,0
2-комн. кв.,70,2,5,гостиный двор,5,True,площадь островского,4500,True,4500
2-комн. кв.,68,2,4,невский проспект,2,True,набережная канала грибоедова,3200,True,3200
апартаменты-студия,26,13,22,звездная,14,True,пулковское шоссе,2000,True,2000
1-комн. кв.,25,14,20,яхтенная,7,False,улица оптиков,2124,False,0
студия,30,5,7,парк победы,17,True,московский проспект,1480,False,0
студия,29,13,17,звездная,18,True,улица федора котанова,1500,True,2000
2-комн. кв.,78,11,20,фрунзенская,8,True,киевская улица,3000,True,3000
1-комн. кв.,19,1,9,песочная,17,True,садовая улица,2248,False,0
студия,28,13,22,звездная,14,True,пулковское шоссе,2199,True,1
1-комн. кв.,22,2,18,московские ворота,12,True,малая митрофаньевская улица,2200,True,2000
студия,22,2,22,московские ворота,10,True,малая митрофаньевская улица,2400,True,2000
1-комн. кв.,27,16,22,аэропорт,4,False,пулковское шоссе,2196,False,0
студия,26,2,17,звездная,4,False,проезд дизельный,1600,True,2000
апартаменты-студия,11,1,5,площадь восстания,19,True,8-я советская улица,1300,False,0
1-комн. кв.,30,4,5,гостиный двор,4,True,итальянская улица,2600,True,2600
1-комн. апарт.,28,1,1,ланская,3,False,светлановский проспект,2124,False,0
1-комн. кв.,40,16,27,парнас,6,False,улица валерия гаврилина,1400,True,1400
1-комн. кв.,38,7,10,политехническая,4,False,улица академика байкова,2100,True,3000
1-комн. кв.,40,12,12,озерки,9,True,улица сикейроса,1600,True,5000
1-комн. кв.,26,2,12,витебская сортировочная,19,True,кузнецовская улица,2261,False,0
1-комн. кв.,40,19,20,проспект просвещения,5,True,проспект просвещения,1690,True,2000
студия,20,2,3,маяковская,1,True,невский проспект,2000,False,0
1-комн. апарт.,15,10,14,выборгская,4,False,большой сампсониевский проспект,1650,True,3000
студия,26,2,5,старый петергоф,10,True,петергофская улица,2200,True,2200
апартаменты-студия,18,2,5,площадь восстания,6,True,улица восстания,1900,False,0
2-комн. кв.,63,3,5,маяковская,5,True,невский проспект,2400,True,3000
студия,15,9,16,выборгская,4,False,большой сампсониевский проспект,1500,True,2000
1-комн. кв.,18,1,9,озерки,7,False,проспект луначарского,2230,False,0
1-комн. кв.,28,1,5,адмиралтейская,13,True,почтамтская улица,3000,True,2000
2-комн. кв.,70,17,19,парнас,11,True,заречная улица,2000,True,5000
1-комн. апарт.,27,10,10,лиговский проспект,7,True,социалистическая улица,2950,True,5000
1-комн. кв.,43,13,19,академическая,7,True,гжатская улица,2376,True,2376
апартаменты-студия,25,7,22,звездная,16,True,пулковское шоссе,1600,True,1500
1-комн. кв.,55,2,4,чернышевская,5,True,проспект чернышевского,4000,True,4000
апартаменты-студия,27,10,11,площадь мужества,11,True,политехническая улица,1800,True,3000
1-комн. кв.,15,13,14,лесная,8,True,большой сампсониевский проспект,2190,False,0
апартаменты-студия,26,15,22,звездная,16,True,пулковское шоссе,2000,True,2000
студия,30,15,16,проспект просвещения,4,True,улица хошимина,1500,False,0
студия,27,9,25,комендантский проспект,6,False,комендантский проспект,1700,True,2000
1-комн. кв.,32,1,1,фарфоровская,2,False,железнодорожный проспект,2295,False,0
1-комн. кв.,30,14,25,комендантский проспект,15,False,улица верхне-каменская,1800,True,2000
1-комн. кв.,42,4,14,пионерская,8,True,коломяжский проспект,1350,True,2000
2-комн. кв.,78,5,5,площадь восстания,9,True,4-я советская улица,2200,True,4000
1-комн. кв.,20,1,1,санкт-петербург (московский вокзал),19,True,тележная улица,2141,False,0
5-комн. кв.,250,4,5,садовая,4,True,набережная канала грибоедова,9000,True,30000
студия,35,6,25,удельная,7,True,фермское шоссе,1800,True,3000
2-комн. кв.,78,3,19,фрунзенская,8,True,киевская улица,2700,True,3000
1-комн. кв.,41,1,6,проспект славы,5,False,алтайская улица,2196,False,0
студия,25,10,12,старая деревня,12,True,дорога торфяная,1800,True,2000
3-комн. апарт.,180,7,7,гостиный двор,2,True,малая конюшенная улица,11500,True,20000
1-комн. кв.,45,15,17,звездная,4,False,пулковское шоссе,2500,True,5000
1-комн. кв.,15,1,1,санкт-петербург (витебский вокзал),9,False,проспект малый васильевского острова,2277,False,0
3-комн. апарт.,160,1,3,гостиный двор,10,True,набережная реки мойки,11500,True,20000
1-комн. кв.,63,4,6,пушкинская,5,True,верейская улица,3730,True,5000
апартаменты-студия,15,5,5,чернышевская,4,True,фурштатская улица,950,False,0
студия,12,2,5,московские ворота,8,True,московский проспект,2500,False,0
апартаменты-студия,22,1,5,пушкинская,5,True,гороховая улица,1400,True,3000
студия,32,2,7,достоевская,1,True,большая московская улица,1799,True,2000
1-комн. кв.,40,9,23,проспект большевиков,3,False,индустриальный проспект,1800,True,1000
1-комн. кв.,35,10,18,комендантский проспект,1,True,комендантский проспект,2478,True,2478
3-комн. кв.,125,4,5,площадь восстания,20,True,8-я советская улица,3000,True,3000
3-комн. кв.,96,7,15,фрунзенская,8,True,заозерная улица,3500,True,3000
1-комн. кв.,30,10,12,старая деревня,10,True,дорога торфяная,1700,True,2000
2-комн. кв.,45,4,5,елизаровская,4,False,софийская улица,2400,True,2400
3-комн. кв.,72,3,4,чернышевская,10,True,переулок басков,3100,True,5000
студия,25,10,16,старая деревня,5,False,туристская улица,1800,True,2000
1-комн. кв.,36,7,19,проспект большевиков,16,True,улица коллонтай,2099,True,3000
студия,27,2,4,санкт-петербург (витебский вокзал),13,True,набережная реки фонтанки,2500,True,2500
апартаменты-студия,30,7,10,лиговский проспект,8,True,социалистическая улица,2500,True,2000
3-комн. кв.,100,4,4,гостиный двор,6,True,итальянская улица,5000,True,5000
апартаменты-студия,17,11,14,лесная,10,True,большой сампсониевский проспект,1800,True,3000
студия,22,1,5,владимирская,6,True,загородный проспект,2440,False,0
1-комн. кв.,24,3,5,чкаловская,4,True,большая разночинная улица,1990,True,1000
4-комн. кв.,160,5,5,адмиралтейская,9,True,миллионная улица,7000,True,20000
2-комн. кв.,62,5,9,рыбацкое,17,True,шлиссельбургский проспект,2200,True,4000
1-комн. апарт.,19,1,1,санкт-петербург (витебский вокзал),19,True,гороховая улица,2568,True,2000
апартаменты-студия,18,2,5,площадь восстания,6,True,улица восстания,1700,False,0
3-комн. кв.,169,2,6,горьковская,17,True,проспект большой петроградской стороны,4025,True,7000
2-комн. кв.,62,3,6,чернышевская,5,True,улица восстания,2500,False,0
1-комн. апарт.,27,1,1,аэропорт,5,False,пулковское шоссе,2400,True,2000
студия,32,6,25,удельная,5,True,фермское шоссе,1800,True,3000
студия,26,2,6,площадь восстания,14,True,8-я советская улица,1900,True,3000
студия,23,2,10,площадь александра невского,18,True,кременчугская улица,1900,False,0
1-комн. апарт.,19,1,1,санкт-петербург (витебский вокзал),19,True,гороховая улица,2568,True,2000
1-комн. кв.,60,1,9,площадь александра невского,12,True,кременчугская улица,5000,True,5000
5-комн. кв.,180,3,4,адмиралтейская,8,True,исаакиевская площадь,9000,True,20000
2-комн. кв.,70,2,9,лиговский проспект,5,True,лиговский проспект,2400,True,3000
1-комн. кв.,48,5,25,удельная,5,True,фермское шоссе,2525,False,0
1-комн. кв.,40,15,22,проспект большевиков,3,False,улица ворошилова,2000,True,3000
студия,25,15,19,комендантский проспект,5,False,комендантский проспект,1400,True,3000
2-комн. кв.,5,5,6,невский проспект,3,True,итальянская улица,6700,True,10000
1-комн. кв.,38,10,24,сортировочная,8,False,октябрьская набережная,2490,False,0
2-комн. кв.,50,1,5,сенная площадь,5,True,переулок апраксин,2600,True,5000
1-комн. кв.,49,23,25,удельная,6,True,фермское шоссе,1999,True,3000
2-комн. кв.,45,4,5,маяковская,7,True,литейный проспект,5000,True,5000
1-комн. кв.,40,4,24,сортировочная,17,True,южное шоссе,2640,False,0
апартаменты-студия,24,13,23,звездная,15,True,пулковское шоссе,2200,True,2000
1-комн. кв.,16,2,4,гостиный двор,14,True,моховая улица,2000,False,0
1-комн. кв.,27,20,22,звездная,14,True,пулковское шоссе,1700,True,2000
1-комн. апарт.,25,1,1,купчино,18,True,будапештская улица,2549,False,0
1-комн. кв.,40,4,16,беговая,2,True,улица савушкина,2000,True,2000
1-комн. кв.,30,3,8,площадь восстания,20,True,херсонская улица,2300,False,0
3-комн. апарт.,120,4,9,невский проспект,5,True,казанская улица,8050,True,20000
1-комн. кв.,35,10,18,комендантский проспект,1,True,комендантский проспект,2478,True,2478
2-комн. кв.,60,2,5,садовая,3,True,переулок гривцова,3200,True,5000
1-комн. апарт.,30,4,4,петроградская,3,True,большая пушкарская улица,2500,False,0
2-комн. апарт.,63,8,8,старая деревня,13,True,улица савушкина,4715,True,7000
1-комн. апарт.,25,1,1,купчино,18,True,будапештская улица,2549,False,0
1-комн. кв.,25,2,4,площадь восстания,10,True,невский проспект,1800,True,1000
1-комн. кв.,49,2,18,комендантский проспект,3,True,гаккелевская улица,2099,True,3000
2-комн. апарт.,45,7,8,старая деревня,12,True,улица савушкина,3500,True,10000
1-комн. кв.,26,15,24,пискарёвка,5,False,екатерининский проспект,2500,False,0
3-комн. апарт.,130,5,5,гостиный двор,5,True,площадь островского,10300,True,20000
1-комн. кв.,36,8,10,спортивная,15,True,уральская улица,2490,True,3000
2-комн. кв.,60,19,22,звездная,17,True,пулковское шоссе,2999,True,2000
1-комн. кв.,40,4,24,сортировочная,17,True,южное шоссе,2640,False,0
3-комн. апарт.,170,6,7,гостиный двор,5,True,караванная улица,11500,True,20000
студия,30,17,25,пионерская,13,True,проспект королева,3000,True,2000
студия,28,16,18,комендантский проспект,9,False,улица верхне-каменская,1800,True,3000
1-комн. кв.,38,10,24,сортировочная,8,False,октябрьская набережная,2490,False,0
студия,28,12,14,комендантский проспект,9,False,аллея арцеуловская,2200,True,3000
1-комн. кв.,45,6,25,удельная,7,True,фермское шоссе,2099,True,3000
студия,26,12,16,парнас,11,True,проезд толубеевский,1000,True,1000
1-комн. кв.,40,1,1,шувалово,6,False,проспект просвещения,2626,False,0
студия,28,1,8,василеостровская,3,True,8-я васильевского острова линия,1480,False,0
апартаменты-студия,30,10,12,площадь мужества,5,True,2-й муринский проспект,1500,True,1000
1-комн. кв.,45,8,10,проспект просвещения,10,True,улица шостаковича,1800,True,3000
1-комн. кв.,30,3,9,лесная,13,True,улица александра матросова,2780,True,2780
2-комн. кв.,50,3,7,площадь восстания,11,True,улица некрасова,2400,True,3000
2-комн. кв.,45,6,16,звездная,13,True,пулковское шоссе,2200,True,3000
студия,31,2,9,лесная,12,True,улица александра матросова,2900,True,5000
1-комн. кв.,31,5,21,комендантский проспект,6,False,аллея арцеуловская,2940,True,2940
апартаменты-студия,18,5,5,чернышевская,5,True,фурштатская улица,1100,True,1500
студия,28,9,23,проспект ветеранов,5,False,проспект народного ополчения,1699,True,3000
2-комн. кв.,45,3,25,пролетарская,12,True,улица шелгунова,1700,True,2000
студия,25,13,19,обухово,4,False,улица бабушкина,1500,True,2000
студия,25,7,22,звездная,15,True,пулковское шоссе,1500,True,1500
2-комн. кв.,57,4,5,чернышевская,3,False,новгородская улица,2300,True,3000
2-комн. кв.,81,9,20,фрунзенская,7,True,киевская улица,5500,True,5000
студия,23,14,16,пискарёвка,7,False,улица маршала тухачевского,2100,True,2000
студия,20,1,5,адмиралтейская,12,True,почтамтская улица,2000,True,2000
1-комн. кв.,42,24,25,ленинский проспект,10,True,проспект народного ополчения,1400,False,0
1-комн. кв.,33,2,5,новочеркасская,2,True,заневский проспект,1750,True,3000
1-комн. кв.,42,16,20,ладожская,15,True,улица ворошилова,1500,True,1500
апартаменты-студия,26,17,22,звездная,15,True,пулковское шоссе,1500,True,2000
2-комн. кв.,46,6,9,проспект большевиков,7,True,улица коллонтай,2390,True,3000
2-комн. кв.,70,11,23,пролетарская,3,True,проспект обуховской обороны,2900,True,3000
1-комн. кв.,5,8,25,проспект большевиков,12,True,улица коллонтай,1999,True,3000
апартаменты-студия,15,3,6,петроградская,6,True,проспект большой петроградской стороны,1800,False,0
студия,15,2,6,петроградская,6,True,проспект большой петроградской стороны,1800,False,0
студия,31,3,9,нарвская,10,True,улица швецова,1999,True,3000
студия,15,2,6,петроградская,6,True,проспект большой петроградской стороны,1800,False,0
студия,27,19,25,ломоносовская,6,False,улица крыленко,2000,True,2000
студия,28,4,21,комендантский проспект,7,False,комендантский проспект,1800,True,3000
2-комн. кв.,65,15,18,парк победы,11,True,варшавская улица,3000,True,3000
студия,28,15,15,проспект большевиков,4,False,союзный проспект,2000,True,3000
1-комн. кв.,3,9,24,улица дыбенко,4,False,дальневосточный проспект,2500,True,3000
2-комн. кв.,57,2,7,новочеркасская,4,True,новочеркасский проспект,1800,True,2500
студия,25,17,22,ладожская,10,True,проспект энергетиков,1600,True,1000
1-комн. кв.,38,9,9,проспект ветеранов,10,False,улица адмирала черокова,1700,True,2000
1-комн. кв.,38,9,9,проспект ветеранов,10,False,улица адмирала черокова,1700,True,2000
2-комн. апарт.,56,8,16,звездная,20,True,пулковское шоссе,1990,True,1000
1-комн. кв.,40,11,16,комендантский проспект,15,True,улица ильюшина,1800,True,2000
студия,25,7,20,парнас,14,True,проезд толубеевский,1500,True,2000
студия,34,12,22,ладожская,10,True,проспект энергетиков,1700,True,2000
студия,20,4,5,нарвская,19,True,улица калинина,1800,True,3000
1-комн. кв.,40,21,25,проспект славы,12,True,южное шоссе,1900,True,2000
1-комн. кв.,33,5,9,новочеркасская,5,False,большая пороховская улица,1500,True,5000
апартаменты-студия,15,2,14,выборгская,4,False,большой сампсониевский проспект,1400,True,3000
1-комн. кв.,35,1,12,старая деревня,7,True,дорога торфяная,2000,True,2000
3-комн. кв.,65,8,16,звездная,20,True,пулковское шоссе,3500,True,2000
1-комн. кв.,48,17,23,пионерская,14,True,коломяжский проспект,2000,True,3000
студия,25,2,4,спортивная,5,True,2-я васильевского острова линия,1500,False,0
3-комн. кв.,88,3,7,площадь восстания,7,True,2-я советская улица,4500,True,6000
1-комн. кв.,40,12,16,приморская,10,True,улица беринга,2300,True,5000
2-комн. кв.,65,2,4,адмиралтейская,11,True,набережная реки мойки,2300,True,2000
студия,26,6,23,ладожская,11,True,проспект энергетиков,1900,True,3000
апартаменты-студия,20,5,14,лесная,10,True,большой сампсониевский проспект,1900,True,3000
1-комн. кв.,30,4,5,гостиный двор,4,True,итальянская улица,2600,True,2600
студия,26,2,9,лесная,10,True,улица александра матросова,2000,True,5000
1-комн. кв.,30,3,9,улица дыбенко,13,True,искровский проспект,2000,True,3000
4-комн. кв.,140,2,5,достоевская,6,True,улица рубинштейна,5000,True,5000
1-комн. кв.,39,13,17,проспект большевиков,14,True,проспект пятилеток,1900,True,3000
1-комн. апарт.,17,5,14,лесная,10,True,большой сампсониевский проспект,1700,True,3000
2-комн. кв.,70,1,5,сенная площадь,8,True,казанская улица,3200,True,5000
студия,28,4,5,звездная,14,False,пулковское шоссе,1800,True,2000
1-комн. кв.,50,12,13,проспект славы,6,True,альпийский переулок,2500,True,5000
студия,25,1,10,василеостровская,4,False,26-я васильевского острова линия,2300,True,3000
3-комн. апарт.,65,3,4,площадь восстания,8,True,полтавская улица,3900,True,5000
4-комн. кв.,120,3,4,маяковская,3,True,стремянная улица,3600,True,5000
3-комн. кв.,120,2,6,площадь александра невского,5,True,невский проспект,6000,True,5000
1-комн. апарт.,20,1,5,московская,3,True,варшавская улица,1800,False,0
1-комн. апарт.,14,1,5,московская,3,True,варшавская улица,1500,False,0
апартаменты-студия,21,7,13,кировский завод,3,True,проспект стачек,1700,True,2000
студия,16,2,6,владимирская,4,True,улица марата,1700,True,2000
3-комн. апарт.,150,2,6,маяковская,3,True,стремянная улица,10300,True,20000
4-комн. кв.,200,4,5,адмиралтейская,9,True,адмиралтейская набережная,7700,True,15000
1-комн. кв.,35,1,5,технологический институт,6,True,бронницкая улица,2000,True,3000
1-комн. кв.,32,1,5,маяковская,12,True,литейный проспект,2400,True,2400
студия,24,2,4,невский проспект,8,True,большая конюшенная улица,2400,True,2400
апартаменты-студия,18,11,21,купчино,3,True,витебский проспект,2500,False,0
1-комн. апарт.,19,3,5,технологический институт,5,True,московский проспект,1750,False,0
2-комн. кв.,40,2,5,маяковская,3,True,пушкинская улица,2600,True,2600
студия,35,5,9,петроградская,15,True,улица академика павлова,2500,True,2000
1-комн. кв.,38,3,5,невский проспект,5,True,набережная канала грибоедова,2600,True,2600
2-комн. кв.,38,5,17,фрунзенская,6,True,улица красуцкого,2500,True,2000
2-комн. кв.,80,2,5,достоевская,6,True,улица рубинштейна,2900,True,2900
2-комн. кв.,60,1,5,сенная площадь,4,True,спасский переулок,3200,True,3200
2-комн. кв.,54,3,3,достоевская,4,True,владимирский проспект,3200,True,3200
студия,35,2,9,петроградская,15,True,улица академика павлова,2500,True,3000
студия,35,2,9,петроградская,18,True,улица академика павлова,2500,True,2000
1-комн. кв.,35,3,4,владимирская,6,True,разъезжая улица,2600,True,2600
2-комн. кв.,78,2,5,площадь восстания,7,True,гончарная улица,3200,True,3200
4-комн. кв.,175,2,3,адмиралтейская,11,True,почтамтская улица,15000,True,15000
4-комн. кв.,112,6,6,невский проспект,6,True,малая конюшенная улица,12000,True,15000
1-комн. кв.,40,19,19,приморская,8,False,бульвар головнина,1600,True,5000
1-комн. апарт.,13,1,4,площадь восстания,14,True,8-я советская улица,1150,True,1000
2-комн. кв.,50,8,11,рыбацкое,20,True,проспект советский,2000,True,2000
1-комн. кв.,30,2,5,купчино,18,False,бульвар алексея толстого,1700,False,0
апартаменты-студия,23,1,4,чернышевская,5,True,гродненский переулок,1400,True,2000
2-комн. кв.,61,9,10,лиговский проспект,7,True,социалистическая улица,3900,True,3000
1-комн. апарт.,25,13,18,бухарестская,1,True,улица салова,1699,True,3000
1-комн. кв.,19,5,7,владимирская,5,True,улица марата,1300,False,0
1-комн. апарт.,22,4,5,площадь восстания,8,True,полтавская улица,1400,False,0
студия,31,12,16,проспект просвещения,8,True,улица хошимина,1200,True,1000
апартаменты-студия,22,11,13,кировский завод,3,True,проспект стачек,1700,True,3000
1-комн. кв.,30,11,24,ломоносовская,5,True,улица бабушкина,2000,True,2000
2-комн. кв.,54,3,18,приморская,8,False,улица вадима шефнера,1600,True,3000
